TIME,NIFTY,INDIA_VIX,VIX_CHANGE,PCR_OI,PCR_VOLUME,ATM_PCR,TOTAL_CE_OI,TOTAL_PE_OI,CE_OI_CHANGE,PE_OI_CHANGE,OI_DIFFERENCE,CE_VOLUME,PE_VOLUME,CE_VOLUME_CHANGE,PE_VOLUME_CHANGE,VOLUME_DELTA,MAX_PAIN,DISTANCE_MAX_PAIN,MAX_CE_OI_STRIKE,MAX_PE_OI_STRIKE,CE_STRIKE_SHIFT,PE_STRIKE_SHIFT,VWAP,VWAP_DISTANCE,DAYS_TO_EXPIRY,IS_EXPIRY_DAY,IS_PRE_EXPIRY_DAY,IS_POST_EXPIRY_DAY,EXPIRY_TYPE,TIME_BLOCK,MARKET_DIRECTION,NIFTY_CHANGE_1MIN,NIFTY_CHANGE_5MIN,NIFTY_CHANGE_15MIN,ATM_CE_LTP,ATM_PE_LTP,ATM_CE_IV,ATM_PE_IV,ATM_CE_DELTA,ATM_CE_GAMMA,ATM_CE_THETA,ATM_CE_VEGA,ATM_CE_RHO,ATM_PE_DELTA,ATM_PE_GAMMA,ATM_PE_THETA,ATM_PE_VEGA,ATM_PE_RHO,FUTURE_MOVE_15MIN,FUTURE_MOVE_30MIN,FUTURE_MOVE_60MIN,ML_SIGNAL,CREATED_AT
2026-05-29 09:15:13,23997.25,15.34,0,0.7033,0.717,0.5612,53567995,37674910,0,0,-15893085,10885420,7804355,0,0,-3081065,23950,47.25,24000,23900,0,0,23880.76,116.49,4,0,0,0,WEEKLY,OPENING,SIDEWAYS,0,0,0,138.25,145.45,13.14,15.16,0.5185,0.001207,-18.4661,10.0113,1.3484,-0.4832,0.001047,-17.0449,10.0131,-1.2867,,,,DATA_COLLECTION,2026-05-29 09:15:25
2026-05-29 09:16:01,23970.35,14.92,-0.42,0.8192,0.9311,0.8464,50747710,41570165,-2820285.0,3895255.0,-9177545,25344865,23598055,14459445.0,15793700.0,-1746810,23950,20.35,24000,23900,0,0,23878.07,92.28,4,0,0,0,WEEKLY,OPENING,SIDEWAYS,0,0,0,170.25,118.2,15.15,13.54,0.541,0.001044,-20.9614,9.9579,1.4025,-0.4549,0.001167,-15.0229,9.9466,-1.2078,,,,DATA_COLLECTION,2026-05-29 09:16:07
2026-05-29 09:16:51,23942.55,14.98,0.06,0.8331,0.9792,0.9074,55189615,45979375,4441905.0,4409210.0,-9210240,37968645,37179545,12623780.0,13581490.0,-789100,23950,-7.45,24000,23900,0,0,23875.29,67.26,4,0,0,0,WEEKLY,OPENING,SIDEWAYS,0,0,0,163.65,120.4,15.95,12.45,0.5116,0.000997,-21.9141,9.9949,1.3244,-0.4868,0.001278,-13.617,9.9937,-1.2905,,,,DATA_COLLECTION,2026-05-29 09:16:57
2026-05-29 09:18:07,23957.75,14.91,-0.07,0.8363,0.9499,0.8803,57971030,48478625,2781415.0,2499250.0,-9492405,53188785,50525540,15220140.0,13345995.0,-2663245,23950,7.75,24000,23900,0,0,23876.81,80.94,4,0,0,0,WEEKLY,OPENING,SIDEWAYS,0,0,0,167.75,116.0,15.57,12.74,0.5272,0.001019,-21.4767,9.9822,1.3659,-0.468,0.001245,-14.0203,9.9734,-1.2415,,,,DATA_COLLECTION,2026-05-29 09:18:13
2026-05-29 09:18:52,23946.3,14.86,-0.05,0.8349,0.9368,0.8688,60832915,50792040,2861885.0,2313415.0,-10040875,60288670,56480710,7099885.0,5955170.0,-3807960,23950,-3.7,24000,23900,0,0,23881.75,64.55,4,0,0,0,WEEKLY,OPENING,SIDEWAYS,0,0,0,162.6,118.6,15.65,12.46,0.5155,0.001016,-21.5517,9.9932,1.335,-0.482,0.001276,-13.6434,9.9906,-1.2779,,,,DATA_COLLECTION,2026-05-29 09:18:58
2026-05-29 09:19:40,23961.75,15.31,0.45,0.835,0.94,0.8688,60832720,50792690,-195.0,650.0,-10040030,67223585,63189035,6934915.0,6708325.0,-4034550,23950,11.75,24000,23900,0,0,23883.15,78.6,4,0,0,0,WEEKLY,OPENING,SIDEWAYS,0,0,0,165.15,113.3,15.1,12.66,0.5321,0.00105,-20.8961,9.9748,1.3791,-0.4629,0.001251,-13.9259,9.9638,-1.2278,,,,DATA_COLLECTION,2026-05-29 09:19:45
2026-05-29 09:20:22,23972.0,15.21,-0.1,0.8379,0.926,0.8722,62869690,52677885,2036970.0,1885195.0,-10191805,78840385,73008195,11616800.0,9819160.0,-5832190,23950,22.0,24000,23900,0,0,23884.08,87.92,4,0,0,0,WEEKLY,OPENING,SIDEWAYS,0,0,0,168.65,107.65,14.9,12.56,0.5433,0.001061,-20.6496,9.9524,1.4089,-0.4497,0.001256,-13.8031,9.9318,-1.1932,,,,DATA_COLLECTION,2026-05-29 09:20:28
2026-05-29 09:21:07,23961.6,15.3,0.09,0.8598,0.9218,0.9322,64283895,55273660,1414205.0,2595775.0,-9010235,88115235,81223740,9274850.0,8215545.0,-6891495,23950,11.6,24000,23900,0,0,23883.14,78.46,4,0,0,0,WEEKLY,OPENING,SIDEWAYS,0,0,0,164.2,111.75,15.01,12.49,0.5321,0.001056,-20.784,9.9747,1.3792,-0.4626,0.001268,-13.7144,9.9631,-1.227,,,,DATA_COLLECTION,2026-05-29 09:21:13
2026-05-29 09:21:56,23946.75,15.36,0.06,0.8513,0.9179,0.8918,67066610,57095610,2782715.0,1821950.0,-9971000,96585710,88660585,8470475.0,7436845.0,-7925125,23950,-3.25,24000,23900,0,0,23881.79,64.96,4,0,0,0,WEEKLY,OPENING,SIDEWAYS,0,0,0,158.35,116.85,15.2,12.3,0.5163,0.001046,-20.9922,9.9926,1.3375,-0.4813,0.001292,-13.4458,9.9899,-1.2758,,,,DATA_COLLECTION,2026-05-29 09:22:03
2026-05-29 09:22:33,23946.9,15.35,-0.01,0.8513,0.9276,0.8918,67066610,57095610,0.0,0.0,-9971000,102068135,94679715,5482425.0,6019130.0,-7388420,23950,-3.1,24000,23900,0,0,23881.8,65.1,4,0,0,0,WEEKLY,OPENING,SIDEWAYS,0,0,0,159.55,116.1,15.32,12.23,0.5163,0.001038,-21.1421,9.9926,1.3375,-0.481,0.0013,-13.3591,9.9896,-1.275,,,,DATA_COLLECTION,2026-05-29 09:22:41
2026-05-29 09:23:14,23947.4,14.76,-0.59,0.8429,0.9343,0.9153,69442880,58533020,2376270.0,1437410.0,-10909860,106789670,99774415,4721535.0,5094700.0,-7015255,23950,-2.6,24000,23900,0,0,23881.85,65.55,4,0,0,0,WEEKLY,OPENING,SIDEWAYS,0,0,0,158.35,117.65,15.17,12.41,0.517,0.001048,-20.9566,9.9922,1.3393,-0.4806,0.001281,-13.5849,9.9893,-1.2741,,,,DATA_COLLECTION,2026-05-29 09:23:20
2026-05-29 09:23:50,23940.5,14.78,0.02,0.843,0.9499,0.9153,69581200,58660030,138320.0,127010.0,-10921170,111020585,105456910,4230915.0,5682495.0,-5563675,23950,-9.5,24000,23900,0,0,23881.22,59.28,4,0,0,0,WEEKLY,OPENING,SIDEWAYS,0,0,0,156.5,119.2,15.34,12.23,0.5097,0.001037,-21.1462,9.9954,1.3201,-0.4893,0.001301,-13.3342,9.9947,-1.2968,,,,DATA_COLLECTION,2026-05-29 09:23:56
2026-05-29 09:24:27,23951.0,14.76,-0.02,0.8215,0.9479,0.8514,71460155,58705595,1878955.0,45565.0,-12754560,116781665,110693050,5761080.0,5236140.0,-6088615,23950,1.0,24000,23900,0,0,23882.17,68.83,4,0,0,0,WEEKLY,OPENING,SIDEWAYS,0,0,0,159.75,114.7,15.12,12.29,0.5208,0.001051,-20.9036,9.9891,1.3494,-0.4758,0.001292,-13.4463,9.9842,-1.2613,,,,DATA_COLLECTION,2026-05-29 09:24:33
